Id,CreationDate,UserId,ClientIP,Operation,Workload,RecordType,ResultStatus,ObjectId,AuditData,OrganizationId,UserType,EventSource
59d1b04b-f12f-4a53-b9ce-5a850266effc,2026-01-05T03:53:00Z,it.admin@evilcorp.com,5.62.41.22,Send,Exchange,1,Succeeded,,"{""CreationTime"": ""2026-01-05T03:53:00Z"", ""Operation"": ""Send"", ""Workload"": ""Exchange"", ""UserId"": ""it.admin@evilcorp.com"", ""ClientIP"": ""5.62.41.22"", ""Id"": ""59d1b04b-f12f-4a53-b9ce-5a850266effc"", ""OrganizationId"": ""15f6184d-cc3c-41c8-bf48-579b6ea5ff79"", ""UserAgent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Safari/17.2""}",15f6184d-cc3c-41c8-bf48-579b6ea5ff79,2,Exchange
e72920f5-7e0a-4682-bc7b-c24890da4254,2025-12-24T14:59:00Z,alice@evilcorp.com,83.45.12.34,FileAccessed,SharePoint,6,Failed,/Shared Documents/Q4_Forecast.xlsx,"{""CreationTime"": ""2025-12-24T14:59:00Z"", ""Operation"": ""FileAccessed"", ""Workload"": ""SharePoint"", ""UserId"": ""alice@evilcorp.com"", ""ClientIP"": ""83.45.12.34"", ""Id"": ""e72920f5-7e0a-4682-bc7b-c24890da4254"", ""OrganizationId"": ""78ec5eb1-0740-473e-9ee7-eb911d441936"", ""UserAgent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0"", ""SiteUrl"": ""https://acme.sharepoint.com/sites/Finance"", ""SourceFileName"": ""Q4_Forecast.xlsx"", ""SourceRelativeUrl"": ""/Shared Documents/Q4_Forecast.xlsx""}",78ec5eb1-0740-473e-9ee7-eb911d441936,2,SharePoint
b2990d70-4270-4aad-84d3-714b10192da8,2025-12-22T03:59:00Z,bob@evilcorp.com,185.199.110.42,Set-Mailbox,Exchange,1,PartiallySucceeded,bob@evilcorp.com,"{""CreationTime"": ""2025-12-22T03:59:00Z"", ""Operation"": ""Set-Mailbox"", ""Workload"": ""Exchange"", ""UserId"": ""bob@evilcorp.com"", ""ClientIP"": ""185.199.110.42"", ""Id"": ""b2990d70-4270-4aad-84d3-714b10192da8"", ""OrganizationId"": ""79e12e9b-a618-4be5-8f18-0dcf87e0f0ab"", ""UserAgent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0"", ""MailboxOwnerUPN"": ""bob@evilcorp.com"", ""Parameters"": [{""Name"": ""ForwardingSmtpAddress"", ""Value"": """"}]}",79e12e9b-a618-4be5-8f18-0dcf87e0f0ab,2,Exchange
08ed2622-be19-4173-9b2a-a45744d5ba05,2025-12-17T04:17:00Z,alice@evilcorp.com,83.45.12.34,MailItemsAccessed,Exchange,1,Succeeded,,"{""CreationTime"": ""2025-12-17T04:17:00Z"", ""Operation"": ""MailItemsAccessed"", ""Workload"": ""Exchange"", ""UserId"": ""alice@evilcorp.com"", ""ClientIP"": ""83.45.12.34"", ""Id"": ""08ed2622-be19-4173-9b2a-a45744d5ba05"", ""OrganizationId"": ""f1244062-1515-47c2-8a83-21675c676022"", ""UserAgent"": ""Outlook/16.0 (Windows; MAPI; Pro)""}",f1244062-1515-47c2-8a83-21675c676022,0,AzureActiveDirectory
3330d60b-3c79-4571-b7ac-cc007eefbc4c,2025-12-13T21:30:00Z,svc.backup@evilcorp.com,20.190.128.12,Add service principal,AzureActiveDirectory,8,Succeeded,8b81592b-5b34-4f31-8e56-fb36262b638a,"{""CreationTime"": ""2025-12-13T21:30:00Z"", ""Operation"": ""Add service principal"", ""Workload"": ""AzureActiveDirectory"", ""UserId"": ""svc.backup@evilcorp.com"", ""ClientIP"": ""20.190.128.12"", ""Id"": ""3330d60b-3c79-4571-b7ac-cc007eefbc4c"", ""OrganizationId"": ""0cd6714e-97f1-4106-beaa-e0b2875dcd26"", ""UserAgent"": ""python-requests/2.31.0"", ""AppId"": ""8b81592b-5b34-4f31-8e56-fb36262b638a"", ""AppDisplayName"": ""GraphExplorer"", ""Permissions"": [""Files.Read.All"", ""Sites.Read.All""]}",0cd6714e-97f1-4106-beaa-e0b2875dcd26,2,SharePoint
8a0b3ff2-dbd4-46dd-a7e5-489c4ace2a5a,2025-12-12T15:14:00Z,bob@evilcorp.com,2.139.88.10,Consent to application,AzureActiveDirectory,8,Failed,1f7b9fb3-0cc7-4a8f-8d79-6c02a57adb90,"{""CreationTime"": ""2025-12-12T15:14:00Z"", ""Operation"": ""Consent to application"", ""Workload"": ""AzureActiveDirectory"", ""UserId"": ""bob@evilcorp.com"", ""ClientIP"": ""2.139.88.10"", ""Id"": ""8a0b3ff2-dbd4-46dd-a7e5-489c4ace2a5a"", ""OrganizationId"": ""128f0ee6-3ad2-4c7c-b12a-6734ed46550a"", ""UserAgent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0"", ""AppId"": ""1f7b9fb3-0cc7-4a8f-8d79-6c02a57adb90"", ""AppDisplayName"": ""PayrollIntegrator"", ""Permissions"": [""Mail.Read"", ""User.Read""]}",128f0ee6-3ad2-4c7c-b12a-6734ed46550a,3,Exchange
8993d421-6ec4-4f7f-8987-608dca638ac3,2025-12-14T19:05:00Z,svc.backup@evilcorp.com,83.45.12.33,Consent to application,AzureActiveDirectory,8,Succeeded,b1661a86-1225-4fe4-ad07-605ce41e7aac,"{""CreationTime"": ""2025-12-14T19:05:00Z"", ""Operation"": ""Consent to application"", ""Workload"": ""AzureActiveDirectory"", ""UserId"": ""svc.backup@evilcorp.com"", ""ClientIP"": ""83.45.12.33"", ""Id"": ""8993d421-6ec4-4f7f-8987-608dca638ac3"", ""OrganizationId"": ""f4298cc0-af56-472e-b473-b5d7e91b8e75"", ""UserAgent"": ""python-requests/2.31.0"", ""AppId"": ""b1661a86-1225-4fe4-ad07-605ce41e7aac"", ""AppDisplayName"": ""PayrollIntegrator"", ""Permissions"": [""Mail.Read"", ""User.Read""]}",f4298cc0-af56-472e-b473-b5d7e91b8e75,3,Exchange
5117b1e7-f266-4942-a3d0-208b0b59aab4,2025-12-15T13:33:00Z,cfo@evilcorp.com,83.45.12.33,UserLoggedIn,AzureActiveDirectory,15,Succeeded,,"{""CreationTime"": ""2025-12-15T13:33:00Z"", ""Operation"": ""UserLoggedIn"", ""Workload"": ""AzureActiveDirectory"", ""UserId"": ""cfo@evilcorp.com"", ""ClientIP"": ""83.45.12.33"", ""Id"": ""5117b1e7-f266-4942-a3d0-208b0b59aab4"", ""OrganizationId"": ""01dd8367-bb2d-4c77-8985-9088c9d67342"", ""UserAgent"": ""python-requests/2.31.0""}",01dd8367-bb2d-4c77-8985-9088c9d67342,2,Exchange
d36e7caf-56c5-4b91-ae19-cea663416301,2025-12-29T18:52:00Z,alice@evilcorp.com,104.26.12.88,MailItemsAccessed,Exchange,1,PartiallySucceeded,,"{""CreationTime"": ""2025-12-29T18:52:00Z"", ""Operation"": ""MailItemsAccessed"", ""Workload"": ""Exchange"", ""UserId"": ""alice@evilcorp.com"", ""ClientIP"": ""104.26.12.88"", ""Id"": ""d36e7caf-56c5-4b91-ae19-cea663416301"", ""OrganizationId"": ""9fc9f460-02c3-42ef-8e1a-9e4974668c79"", ""UserAgent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Safari/17.2""}",9fc9f460-02c3-42ef-8e1a-9e4974668c79,2,Exchange
ff0fe7ae-f701-41c7-a80b-da87c08652c1,2025-12-20T21:39:00Z,it.admin@evilcorp.com,5.62.41.22,FileDownloaded,SharePoint,6,PartiallySucceeded,/Shared Documents/Passwords.txt,"{""CreationTime"": ""2025-12-20T21:39:00Z"", ""Operation"": ""FileDownloaded"", ""Workload"": ""SharePoint"", ""UserId"": ""it.admin@evilcorp.com"", ""ClientIP"": ""5.62.41.22"", ""Id"": ""ff0fe7ae-f701-41c7-a80b-da87c08652c1"", ""OrganizationId"": ""8af1c1e7-adc1-4a4a-ade1-d9ddadac8fe8"", ""UserAgent"": ""python-requests/2.31.0"", ""SiteUrl"": ""https://acme.sharepoint.com/sites/HR"", ""SourceFileName"": ""Passwords.txt"", ""SourceRelativeUrl"": ""/Shared Documents/Passwords.txt""}",8af1c1e7-adc1-4a4a-ade1-d9ddadac8fe8,0,Exchange
